status_pedido,nota_fiscal,pedido_id,data_do_pedido,data_de_faturamento,canal_de_vendas,cod_representante,representante,cnpj_pdv,centro_distribuicao,uf_centro_distribuicao,ean,sku_produto,produto,quantidade_solicitada,quantidade_atendida,quantidade_faturada,quantidade_cancelada,preco_unitario_com_imposto,preco_unitario_sem_imposto,desconto_digitado,desconto_aplicado_em_nota,valor_total_solicitado_com_imposto,valor_total_solicitado_sem_imposto,total_atendido_sem_imposto,total_atendido_com_imposto,valor_faturado
Faturado,41182010-RRO8B,8677615,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,11050696000268,PROFARMA,DF,7896004704326,11064,Captopril 25 mg Caixa 30 Comprimidos,4,4,4,0,"11,99","1,98","0,00","83,47","47,96","7,93","7,93","47,96","7,93"
Faturado,41182010-RRO8B,8677615,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,11050696000268,PROFARMA,DF,7896004706474,10287,Glibenclamida 5 mg Caixa 30 Comprimidos,6,6,6,0,"12,09","2,14","0,00","82,29","72,54","12,85","12,85","72,54","12,85"
Faturado,41182010-RRO8B,8677615,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,11050696000268,PROFARMA,DF,7896004722870,10829,Losartana Potássica 100 mg Caixa 30 Comprimidos Revestidos,1,1,1,0,"39,84","24,97","0,00","37,32","39,84","24,97","24,97","39,84","24,97"
Faturado,41182010-RRO8B,8677615,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,11050696000268,PROFARMA,DF,7896004756417,11425,Paracetamol + Codeína 500+30 mg Caixa 12 Comprimidos,4,4,4,0,"20,33","8,50","0,00","58,21","81,32","33,98","33,98","81,32","33,98"
Faturado,41182010-RRO8B,8677615,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,11050696000268,PROFARMA,DF,7896004777184,11922,Tramadol 100 mg Caixa 10 Comprimidos de Liberação Prolongada,3,3,3,0,"78,98","56,68","0,00","28,24","236,94","170,03","170,03","236,94","170,03"
Faturado parcial,357032-ARNPL,8677677,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,MEDCENTRO,TO,7896004704586,10202,Betametasona+Gentamicina+Clioquinol+Tolnaftato 0.5+1+10+10 mg/g Creme Bisnaga 20 g,2,2,2,0,"26,55","8,58","0,00","67,68","53,10","17,16","17,16","53,10","17,16"
Faturado parcial,357032-ARNPL,8677677,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,MEDCENTRO,TO,7896004700984,10083,Cetoconazol 20 mg/g Frasco 100 ml Shampoo Anticaspa,2,2,2,0,"57,05","20,86","0,00","63,43","114,10","41,73","41,73","114,10","41,73"
Faturado parcial,357032-ARNPL,8677677,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,MEDCENTRO,TO,7896004727233,10904,Ciclopirox Olamina 10 mg/ml Frasco 15 ml Solução Tópica,3,3,3,0,"27,50","7,99","0,00","70,96","82,50","23,96","23,96","82,50","23,96"
Faturado parcial,357032-ARNPL,8677677,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,MEDCENTRO,TO,7896004761299,11571,Cilostazol 100 mg Caixa 30 Comprimidos,2,2,2,0,"32,51","20,91","0,00","35,69","65,02","41,81","41,81","65,02","41,81"
Faturado parcial,357032-ARNPL,8677677,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,MEDCENTRO,TO,7896004721903,10806,Dexametasona 1 mg/g Bisnaga 10 g Creme Dermatológico,8,8,8,0,"10,58","3,42","0,00","67,64","84,64","27,39","27,39","84,64","27,39"
